name,rating,price,yelp_review_count,yelp_rating,longitude,latitude,delivers,location
Blind Tiger,7.4,2,887,4,-74.003223,40.731926,FALSE,Greenwich Village
BLT Fish Shack,5.2,3,1440,4,-74.003463,40.731734,FALSE,Greenwich Village
BLT Steak,7.1,4,404,4,-73.970335,40.761162,TRUE,Midtown East
Blue Hill at Stone Barns,9.7,4,729,4.5,-73.828956,41.104023,FALSE,Parkchester
Blue Hill New York,8.6,4,999,4.5,-73.9996931018524,40.7320640251595,FALSE,Greenwich Village
Blue Ribbon Brasserie,9,4,935,4.5,-74.003027,40.725456,FALSE,SoHo
Blue Ribbon Sushi Bar & Grill,7.8,4,753,4,-73.9831978922043,40.7674948014194,FALSE,Times Square Theatre District
Blue Ribbon Sushi Izakaya,7.7,3,514,4,-73.9882245327093,40.7220839812692,FALSE,NoLIta
Bobo,5.1,4,538,4,-74.0026245117188,40.734489440918,TRUE,Greenwich Village
Bocca di Bacco,7.2,3,280,3.5,-73.991703,40.7602649,TRUE,Times Square
Bocce Union Square,7.4,2,88,4,-73.9905564301636,40.7367183711943,TRUE,Union Square
Bohemian,8.4,3,759,4.5,-73.99236,40.72639,FALSE,NoHo
Bonnie's Grill,7.2,1,697,4,-73.982406,40.674302,TRUE,Park Slope
Boqueria,7.1,2,1005,4,-74.0021299,40.724912,TRUE,SoHo
Bouley At Home,5.9,4,131,4,-73.9921929272335,40.7410869985191,FALSE,Flatiron district
Boulton & Watt,6.8,3,680,4,-73.986439,40.7224963,TRUE,East Village
Boulud Sud,4.7,4,748,4,-73.9816256082283,40.7718614234522,FALSE,Times Square Theatre District
Bowery Diner,5.8,2,550,4,-73.9920476876,40.7263350655,FALSE,NoHo
Bozu,6,2,826,4,-73.95749,40.7129,FALSE,Williamsburg
Bread And Salt,8.6,1,105,4,-74.0447338297963,40.7435428136099,TRUE,Jersey City
Bricolage,7.6,3,467,4,-73.97975,40.67792,FALSE,Gowanus
Brindle Room,4.5,2,1026,4,-73.98271,40.72829,TRUE,East Village
Brodo,7.1,2,165,4,-73.98327,40.7300899,TRUE,East Village
Brooklyn Cider House,8,2,216,4,-73.9272699,40.70516,TRUE,Bushwick
Brooklyn Crab,7,2,1004,3,-74.016568,40.6752649,FALSE,Carroll Gardens
Bruno Pizza,7.2,3,207,4,-73.98736,40.73226,TRUE,Union Square
Bubby's,6.9,2,1377,3.5,-74.0083092,40.7198118,TRUE,TriBeCa
Bukhara Grill,8.1,3,547,3.5,-73.97028,40.75501,TRUE,Midtown East
Burger & Barrel,7.5,3,824,3.5,-73.99793,40.7258,TRUE,NoLIta
Burger & Lobster,6.5,2,5442,4,-73.99344,40.74007,TRUE,Flatiron district
Burger Joint,8.7,1,2313,3.5,-73.978533363932,40.7642604687359,TRUE,Times Square Theatre District
Buttermilk Channel,8.2,3,1885,4,-73.999059,40.675919,FALSE,Carroll Gardens
Cafe Altro Paradiso,7.3,3,149,3.5,-74.00489,40.72549,FALSE,Hudson Square
Cafe Clover,7.6,3,306,3.5,-74.0027698391672,40.7295313881459,TRUE,Greenwich Village
Cafe Cluny,7.9,3,718,4,-74.003966,40.737385,TRUE,West Village
Cafe Colette,6.9,3,365,3.5,-73.957565,40.719747,TRUE,Williamsburg
Café Cortadito,4.5,2,880,3,-73.982784589542,40.722483112365,TRUE,East Village
Cafe Gitane,7.1,2,713,4,-73.9946175625656,40.7231802723335,TRUE,NoLIta
Café Habana,8.2,1,3154,4,-73.994171,40.722998,TRUE,NoLIta
Cafe Luxembourg,5.1,4,487,4,-73.98312,40.77741,FALSE,Upper West Side
Caffè Storico,7.1,3,201,4,-73.973975,40.779469,FALSE,Upper West Side
Camperdown Elm,7.7,3,112,4.5,-73.98454,40.66312,FALSE,Park Slope
Candle Cafe,7.6,2,911,4,-73.959146,40.771434,TRUE,Upper East Side
Candle Cafe West,7.5,3,396,4,-73.97514,40.79051,TRUE,Upper West Side
Carbone,9.4,4,1003,4,-74.0001497,40.728,FALSE,SoHo
Casa Enrique,9,3,1184,4,-73.954350367693,40.743404338358,TRUE,Long Island City
Casa Mono,8.6,4,1221,3.5,-73.9871550967319,40.7359281440206,FALSE,Gramercy Park
Casellula,7.3,3,907,4,-73.98835,40.76499,TRUE,Times Square Theatre District
Cask Bar + Kitchen,4,3,1348,4,-73.979004,40.745414,TRUE,Kips Bay
Catch,7.8,4,2299,3.5,-74.006342,40.740234,TRUE,Meatpacking District
Cathédrale,5.6,3,121,4,-73.98951,40.7316,FALSE,NoHo
Celeste,7.2,3,894,3.5,-73.97599,40.78666,FALSE,Upper West Side
Celestine,7.6,3,217,4,-73.987975,40.704676,FALSE,Fulton Ferry
Cervo’s,7.6,2,28,3.5,-73.9854371,40.71429,FALSE,Lower East Side
Chavela’s,7.9,2,1054,4,-73.957267,40.673484,TRUE,Prospect Heights
Chef’s Table At Brooklyn Fare,9.4,4,520,4.5,-73.9966090932068,40.7561930774282,FALSE,Hudson Yards
Cherry Point,7.7,3,142,4.5,-73.9511575076571,40.7244954175426,FALSE,Greenpoint
Chez Ma Tante,8.5,2,164,4.5,-73.9574290439961,40.7268966108951,FALSE,Greenpoint
Chilo's,8.3,1,217,4,-73.95696,40.68835,FALSE,Prospect Heights
Chinese Tuxedo,6.8,3,276,3.5,-73.99804,40.71433,FALSE,Chinatown
Ciccio,7.7,3,281,4.5,-74.0034471165676,40.7263263267119,FALSE,SoHo
City Vineyard,7.5,2,831,4,-74.0118093,40.7205582,TRUE,TriBeCa
Clinton St. Baking Company,7.8,2,26,3.5,-73.991773,40.703717,FALSE,Fulton Ferry
Clover Club,7.5,2,766,4,-73.9921875,40.6846046447754,TRUE,Cobble Hill
Clyde Frazier's Wine and Dine,7,3,560,3.5,-73.9979356060821,40.756784795428,TRUE,Hudson Yards
Coco Pazzo,6.8,2,105,4,-74.00143,40.72596,TRUE,SoHo
Cocoron,8.7,2,993,4,-73.99305,40.72031,FALSE,NoLIta
Colina Cuervo,8.2,2,165,4.5,-73.9503035730164,40.6713243870099,TRUE,Crown Heights
Colonia Verde,6,3,159,4,-73.970703125,40.6897354125977,FALSE,Fort Greene
Colonie,8,3,573,4,-73.9958,40.6909,FALSE,Cobble Hill
